"WBS #","Name / Title",Type,"Start Date","End Date","Estimated Hours","Actual Hours","Percent Complete",Resources,Predecessors,Notes,Comments,"Task Color"
1,"ITP Thesis_template",project,2020-01-28,2020-05-14,0,0,0,,,,,
1.1,"Weeks 1 - 3",group,2020-01-28,2020-02-17,0,0,0,,,,,
1.1.1,"Research & Concept Development",task,2020-01-28,2020-02-17,0,0,0,,,,,blue2
1.1.2,"Class 1",milestone,2020-01-28,2020-01-28,0,0,0,,,,,blue2
1.1.3,"DUE: Weekly Update",task,2020-02-02,2020-02-02,0,0,0,,,,,yellow1
1.1.4,"DUE: Dream Review",task,2020-02-04,2020-02-04,0,0,0,,,,,yellow1
1.1.5,"Class 2",milestone,2020-02-04,2020-02-04,0,0,0,,,,,blue2
1.1.6,"DUE: Weekly Update",task,2020-02-09,2020-02-09,0,0,0,,,,,yellow1
1.1.7,"Class 3",milestone,2020-02-11,2020-02-11,0,0,0,,,,,blue2
1.1.8,"DUE: Thesis Proposal",task,2020-02-14,2020-02-14,0,0,0,,,,,yellow1
1.1.9,"DUE: Weekly Update",task,2020-02-16,2020-02-16,0,0,0,,,,,yellow1
1.2,"Weeks 4 - 9",group,2020-02-18,2020-04-06,0,0,0,,,,,
1.2.1,"Design, Prototype, & Production",task,2020-02-18,2020-04-06,0,0,0,,,,,blue2
1.2.2,"Class 4",milestone,2020-02-18,2020-02-18,0,0,0,,,,,blue2
1.2.3,"DUE: Weekly Update",task,2020-02-23,2020-02-23,0,0,0,,,,,yellow1
1.2.4,"Class 5",milestone,2020-02-25,2020-02-25,0,0,0,,,,,blue2
1.2.5,"DUE: Weekly Update",task,2020-03-01,2020-03-01,0,0,0,,,,,yellow1
1.2.6,"Class 6",milestone,2020-03-03,2020-03-03,0,0,0,,,,,blue2
1.2.7,"DUE: Weekly Update",task,2020-03-08,2020-03-08,0,0,0,,,,,yellow1
1.2.8,"Class 7",milestone,2020-03-10,2020-03-10,0,0,0,,,,,blue2
1.2.9,"Thesis Locked",milestone,2020-03-10,2020-03-10,0,0,0,,,,,blue2
1.2.10,"DUE: Midterm Presentation",task,2020-03-10,2020-03-10,0,0,0,,,,,yellow1
1.2.11,"DUE: Weekly Update",task,2020-03-15,2020-03-15,0,0,0,,,,,yellow1
1.2.12,"Spring Recess",task,2020-03-16,2020-03-22,0,0,0,,,,,pink1
1.2.13,"DUE: Weekly Update",task,2020-03-22,2020-03-22,0,0,0,,,,,yellow1
1.2.14,"Class 8",milestone,2020-03-24,2020-03-24,0,0,0,,,,,blue2
1.2.15,"DUE: Weekly Update",task,2020-03-29,2020-03-29,0,0,0,,,,,yellow1
1.2.16,"Class 9",milestone,2020-03-31,2020-03-31,0,0,0,,,,,blue2
1.2.17,"Quick & Dirty Show",milestone,2020-03-31,2020-03-31,0,0,0,,,,,blue2
1.2.18,"DUE: Quick & Dirty Poster",task,2020-03-31,2020-03-31,0,0,0,,,,,yellow1
1.2.19,"DUE: Weekly Update",task,2020-04-05,2020-04-05,0,0,0,,,,,yellow1
1.3,"Weeks 10 - 12",group,2020-04-07,2020-04-20,0,0,0,,,,,
1.3.1,"Test & Iterate",task,2020-04-07,2020-04-20,0,0,0,,,,,blue2
1.3.2,"Class 10",milestone,2020-04-07,2020-04-07,0,0,0,,,,,blue2
1.3.3,"DUE: Weekly Update",task,2020-04-12,2020-04-12,0,0,0,,,,,yellow1
1.3.4,"Class 11",milestone,2020-04-14,2020-04-14,0,0,0,,,,,blue2
1.3.5,"DUE: Thesis Archive",task,2020-04-16,2020-04-16,0,0,0,,,,,yellow1
1.3.6,"DUE: Weekly Update",task,2020-04-19,2020-04-19,0,0,0,,,,,yellow1
1.4,"Weeks 12 - 14",group,2020-04-21,2020-05-05,0,0,0,,,,,
1.4.1,"Class 12",milestone,2020-04-21,2020-04-21,0,0,0,,,,,blue2
1.4.2,"DUE: Weekly Update",task,2020-04-26,2020-04-26,0,0,0,,,,,yellow1
1.4.3,"Class 13",milestone,2020-04-28,2020-04-28,0,0,0,,,,,blue2
1.4.4,"DUE: Weekly Update",task,2020-05-03,2020-05-03,0,0,0,,,,,yellow1
1.4.5,"Class 14 - Last Class",milestone,2020-05-05,2020-05-05,0,0,0,,,,,blue2
1.4.6,"DUE: Final Presentation",task,2020-05-05,2020-05-05,0,0,0,,,,,yellow1
1.4.7,"DUE: Final Documentation",task,2020-05-05,2020-05-05,0,0,0,,,,,yellow1
1.5,"Thesis Week",group,2020-05-12,2020-05-14,0,0,0,,,,,
1.5.1,Talks,task,2020-05-12,2020-05-14,0,0,0,,,,,blue2
